1,Bingham community centre,"1A Bingham Avenue, Edinburgh, EH15 3HZ",https://www.edinburgh.gov.uk/directory-record/1587280/bingham-community-centre,,Y,329848.8555,672444.5588
2,Balerno community centre,"11 Main Street, Balerno, EH14 7EQ",https://balernovt.org.uk/community-centre/,,N,316360.072,666467.1383
3,Cameron House community education centre,"34 Prestonfield Avenue, Edinburgh, EH16 5EU",,,Y,327703.8703,671693.7163
4,Carrickvale community education centre,"2 Saughton Mains Street, Edinburgh, EH11 3HH",https://www.carrickvalecommunitycentre.com/,,N,321129.4041,671598.84
5,Clovenstone community centre,"54 Clovenstone Park, Edinburgh, EH14 3EY",,,Y,320475.959,669427.723
6,Colinton Mains community centre,"Firrhill Loan, Edinburgh, EH13 9EJ",,,Y,322983.6798,669491.5458
7,Craigentinny community centre,"9 Loaning Road, EH7 6JE",https://www.facebook.com/craigentinnycc,B-Listed,N,328502.5947,674693.2866
8,Gate 55 community centre,"55 Sighthill Road, Edinburgh, EH11 4PB",,,Y,319607.0487,670416.497
9,Gilmerton community centre,"4 Drum Street, Edinburgh, EH17 8QG",,B-Listed,N,329202.1549,668680.6248
10,Goodtrees neighbourhood centre,"5 Moredunvale Place, Edinburgh, EH17 7LB",https://www.facebook.com/goodtreesnc1/?locale=en_GB,,Y,328864.2116,669685.0312
11,Gorgie Memorial Hall community centre,"338 Gorgie Road, Edinburgh, EH11 2RQ",https://gorgiemem.com/,,N,322711.3522,672242.7259
12,Inch community centre,"225 Gilmerton Road, Edinburgh, EH16 5UF",http://www.inchhouse.co.uk/,A-Listed,Y,327681.7793,670799.7674
13,Jack Kane community centre,"280 Niddre Mains Road, Edinburgh, EH16 4ND",,,Y,330308.5205,671551.1082
14,Juniper Green community centre,"1A Juniper Park Road, Juniper Green, EH14 5DX",,,Y,319613.3815,668784.841
15,Kirkliston community centre,"16-18 Queensferry Road, Kirkliston, EH29 9AQ",https://www.kirklistoncommunitycentre.org/,,N,312471.3928,674755.4572
16,Leith community centre,"12a New Kirkgate, Leith, EH6 6AD",https://leithcommunitycentre.org.uk/,,Y,326968.1973,676058.663
17,Magdalene community centre,"106b Magdalene Drive, Edinburgh, EH15 3BE",https://magdalenecc.wordpress.com/,,N,331106.9077,672683.9302
18,Munro community centre,"6 Parkgrove Street, Edinburgh, EH4 7NT",https://www.facebook.com/munrocommunitycentre/,,Y,319566.2792,674912.2872
19,Nelson Hall community centre,"5 Spittalfield Crescent, Edinburgh, EH8 9QZ",,,N,326461.0423,672683.1741
20,Northfield community centre,"10 Northfield Road, Edinburgh, EH8 7PP",,,Y,328986.1691,673877.9404
21,Pentland community centre,"Oxgangs Brae, Edinburgh, EH13 9LS",https://www.pentlandcommunitycentre.com/,,Y,323756.7352,668696.5189
22,The Wash House (Portobello) Community Centre,"3 Adelphi Grove, Edinburgh, EH15 1AP",https://www.thewashhouse.org/,,Y,330363.8754,673973.9477
23,Rannoch Community Centre,"6 Rannoch Terrace, Edinburgh, EH4 7ES",,,Y,319716.8349,674301.7193
24,Ratho community centre,"School Wynd, Ratho, EH28 8TT",,,Y,313651.5574,670782.5664
25,Rosebery Hall,"17 West Terrace, South Queensferry, EH30 9LL",,B-Listed,Y,312961.7625,678350.4848
26,Royston Wardieburn community centre,"11 Pilton Drive North, Edinburgh, EH5 1NF",,,N,323337.2059,676628.1365
27,Sandys community centre,"76 Craigmillar Castle Ave, Edinburgh, EH16 4DW",https://www.sandyscommunitycentre.com/,,Y,329248.1712,671441.0724
28,South Queensferry community centre,"School Lane, Kirkliston Road, South Queensferry, EH30 9NZ",,,N,313002.881,678069.1896
29,Southside community centre,"117 Nicolson Street, Edinburgh, EH8 9ER",https://www.southsidecommunitycentre.co.uk/,B-Listed,N,326158.7418,672998.2473
30,St Brides community centre,"10 Orwell Terrace, Edinburgh, EH11 2DZ",https://stbridescentre.com/,B-Listed,N,323869.1859,672836.7843
31,Tollcross community centre,"117 Fountainbridge, Edinburgh, EH3 9QG",,B-Listed,N,324730.585,672933.2468
32,Valley Park community centre,"37 Southhouse Rd, Edinburgh, EH17 8EU",,,N,327782.9982,667852.2953
33,Wardie residents club,"125 Granton Road, Edinburgh, EH5 3NJ",,,Y,324245.6906,676572.9449
34,West Pilton neighbourhood centre,"19 West Pilton Grove, Edinburgh, EH4 4BY",,,Y,322384.7507,676100.1231
